Disease,Symptoms
Tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Diabetes ," fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Chronic cholestasis,"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Peptic ulcer diseae," vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
Paralysis (brain hemorrhage)," headache, weakness_of_one_body_side, altered_sensorium"
Malaria," chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
Hepatitis D," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain"
Gastroenteritis," vomiting, sunken_eyes, dehydration, diarrhoea"
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition"
Allergy," continuous_sneezing, shivering, chills"
Tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Typhoid," chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
Pneumonia," chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Diabetes ," fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Bronchial Asthma," cough, high_fever, breathlessness, family_history, mucoid_sputum"
Acne," skin_rash, pus_filled_pimples, blackheads, scurring"
Psoriasis," skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails"
Tuberculosis," chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload"
Typhoid," chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
Varicose veins," cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases"
Common Cold," chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Bronchial Asthma," fatigue, cough, high_fever, breathlessness, mucoid_sputum"
Hepatitis E," vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
Urinary tract infection," burning_micturition, foul_smell_of urine, continuous_feel_of_urine"
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Hepatitis C," fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
Diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria"
Urinary tract infection," burning_micturition, bladder_discomfort, foul_smell_of urine"
Urinary tract infection," bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
hepatitis A," joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Arthritis," muscle_weakness, stiff_neck, swelling_joints, painful_walking"
Jaundice,"itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
Dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool"
Jaundice,"itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Chicken pox,"itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
Osteoarthristis," joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, nausea, spinning_movements, loss_of_balance"
Bronchial Asthma," fatigue, cough, breathlessness, family_history, mucoid_sputum"
Drug Reaction,"itching, stomach_pain, burning_micturition, spotting_ urination"
Malaria," chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain"
Migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability"
Typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
Hepatitis B," fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Allergy," shivering, chills, watering_from_eyes"
Malaria," chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain"
Diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria"
Typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos)"
Dimorphic hemmorhoids(piles)," constipation, pain_in_anal_region, bloody_stool, irritation_in_anus"
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
Hepatitis D," vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Migraine," indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Jaundice,"itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain"
Hypoglycemia," vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain"
Hypothyroidism," fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, nausea, loss_of_balance, unsteadiness"
Impetigo," high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Varicose veins," fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain"
Urinary tract infection," burning_micturition, bladder_discomfort, continuous_feel_of_urine"
Chicken pox," skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
Hepatitis E," joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
